webcam,left,top,x,y
bassano,67,0,1146,857
albisola,84,0,1112,857
monfalcone,256,183,768,491
riccione,70,0,1140,857
rimini,70,0,1140,857
torbole,40,90,1200,677
malcesine,42,94,1196,669
thuile,240,125,800,607
thuile2,240,125,800,607
campegli,0,68,1280,721
nw_egypt,70,0,1140,857
nw_alpago,70,0,1140,857
nw_zacinto,320,185,640,487
nw_portodiandora,0,70,1280,717
nw_montalt,0,70,1280,717
nw_alvarmontseny,0,70,1280,717
nw_veulettes,0,70,1280,717
nw_veulettes2,0,70,1280,717
nw_poperinge,320,185,640,487
nw_almerehaven,10,0,1260,857
nw_dieeksepark,0,70,1280,717
